"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\index-browser.d.ts", "TypeScript", 264, 0, 0, 0, 0, 20, 87, 371
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\index-browser.js", "JavaScript", 0, 0, 1, 0, 0, 14, 2, 17
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\library.d.ts", "TypeScript", 2343, 0, 0, 0, 0, 846, 459, 3648
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\library.js", "JavaScript", 0, 0, 116, 0, 0, 2, 29, 147
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\react-native.js", "JavaScript", 0, 0, 67, 0, 0, 2, 15, 84
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\runtime\wasm.js", "JavaScript", 0, 0, 27, 0, 0, 2, 7, 36
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\wasm.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\generated\prisma\wasm.js", "JavaScript", 0, 0, 112, 0, 0, 21, 25, 158
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\lib\db.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 2, 13
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\lib\locationMap.json", "JSON", 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\middleware\auth.ts", "TypeScript", 40, 0, 0, 0, 0, 4, 10, 54
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\utils\db.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\utils\prisma.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 5, 17
"Total", "-", 7750, 2836, 1593, 25, 317, 3306, 2307, 18134
